ra_epoch2000,dec_epoch2000,Source,Gmag,parallax,parallax_error,bp_rp,teff_val,a_g_val,e_bp_min_rp_val
115.6373147767583,-14.7569835186927,3029585822263026304,16.779,0.6917,0.0702,1.096773,5017.28,0.1557,0.072
115.6229918509597,-14.4826489711473,3029605987127210624,18.551,0.391,0.1879,1.611155,,,
115.6383836198229,-14.75489399606,3029585822263024896,17.532,0.6728,0.1081,1.238148,,,
115.5692903856391,-14.6447530618864,3029590460827704832,14.193,0.5827,0.0266,0.601145,6878.5,0.8695,0.423
115.6199425608644,-14.7218437147101,3029586749975959680,14.837,0.5385,0.0317,0.736255,6162.94,0.8053,0.4177
115.5611319944172,-14.6287277918973,3029591216741948416,16.946,0.6408,0.0872,1.174696,5004.5,0.197,0.084
115.5317892570508,-14.5676028397059,3029603792406185984,16.984,0.6138,0.0925,1.165363,4896.9,,
115.4037660352711,-14.436436451463,3029609393042459392,10.278,0.583,0.0381,1.338796,4711.57,0.308,0.1503
115.4509559944097,-14.5076495306309,3029608087372400896,17.652,0.7819,0.1162,1.631407,,,
115.7509045727329,-14.7049972460101,3029587742105264000,19.352,0.8019,0.3554,2.283238,,,
115.6256274003775,-14.7047876340559,3029586848752065536,18.017,0.8894,0.1746,1.47958,,,
115.5041224202427,-14.4108419510667,3029610556972695936,19.088,0.6658,0.2563,2.118185,,,
116.0054348295859,-14.4002496720356,3029621998765619840,18.902,1.309,0.3413,1.848927,,,
115.8611352090523,-14.5218721925563,3029596125884306688,19.546,0.3136,0.4082,1.955929,,,
115.6064911802042,-14.6928781048517,3029587127933078784,14.5,0.6382,0.0281,0.698506,6347.67,,
115.5162831369753,-14.5561709081159,3029603998564621056,16.513,0.639,0.062,1.075696,5221.95,0.2393,0.1238
115.549870556873,-14.6038779958837,3029591869576974080,13.296,0.5718,0.0229,0.50308,7318.0,1.066,0.531
115.785706188057,-14.5407948076396,3029595919723632384,19.491,0.9661,0.4382,2.347181,,,
115.9230382329212,-14.5096983879831,3029596954817838208,19.964,0.1353,0.6118,2.009094,,,
115.4959293070725,-14.4413160815858,3029609938497287424,17.407,0.6326,0.0917,1.298296,,,
115.5730842061529,-14.6225209494489,3029591590396255232,18.557,0.5252,0.223,1.619904,,,
115.6213741569591,-14.5919442133886,3029593239663823232,19.303,0.1706,0.3245,1.816254,,,
115.4888436648006,-14.5078987573002,3029605201155461888,14.435,0.5767,0.0285,0.672408,6399.5,0.7915,0.4093
115.6926052603993,-14.4249755835661,3029612554139234816,15.64,0.5763,0.0386,0.99059,5320.0,0.436,0.2428
115.6741732861454,-14.7066855868612,3029586440733045376,19.494,-0.4867,0.3825,1.852043,,,
115.6486820181559,-14.7110092934051,3029586814392306944,17.605,1.4362,0.3003,1.256121,,,
115.530313838541,-14.4068638956313,3029610389474839168,19.611,1.0534,0.4247,2.158133,,,
115.6839697214115,-14.6046883676665,3029592281893722112,15.276,0.4967,0.0435,1.1113,4965.0,,
115.6455886656067,-14.5041373352055,3029594171679308032,13.365,0.6322,0.0267,0.339282,8147.75,0.3747,0.1777
115.7181062508565,-14.5983464693286,3029589734970486656,16.911,0.7047,0.0765,1.126015,4970.58,0.016,0.008
115.631563343075,-14.3593576649949,3029613924227242624,18.355,0.6419,0.174,1.512966,,,
115.6461294370539,-14.4781973020059,3029606055850194944,17.733,0.5581,0.1195,1.353771,,,
