#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],plate,mjd,fiber
spec-7286-57096-0828.fits,sdssdr12,-18.79,M2,1,7286,57096,828
spec-8298-57390-0564.fits,sdssdr12,-44.08,M4,0.5,8298,57390,564
spec-8205-58143-0593.fits,sdssdr12,66.425,M5,0.5,8205,58143,593
spec-11074-58488-0013.fits,sdssdr12,-137.9816667,F3,0,11074,58488,13
spec-7299-56686-0768.fits,sdssdr12,-47.4,M5,0.5,7299,56686,768
spec-7601-56959-0076.fits,sdssdr12,-37.885,M5,0.5,7601,56959,76
spec-7320-56722-0142.fits,sdssdr12,-108.1125,F7,-1,7320,56722,142
spec-10662-58158-0578.fits,sdssdr12,49.71166667,F3,-1,10662,58158,578
spec-10739-58255-0208.fits,sdssdr12,-22.085,K7+M2,0,10739,58255,208
spec-8170-57131-0927.fits,sdssdr12,-7.4625,K7+M2,0,8170,57131,927
spec-7391-56781-0434.fits,sdssdr12,-0.56,M1,0.5,7391,56781,434
spec-7852-56987-0747.fits,sdssdr12,46.2575,M5,0.5,7852,56987,747
spec-7849-56980-0955.fits,sdssdr12,-161.5183333,G7,0,7849,56980,955
spec-7324-56935-0258.fits,sdssdr12,-2.416666667,K7,-0.5,7324,56935,258
spec-8290-57364-0340.fits,sdssdr12,-24.6175,K5+M1,0,8290,57364,340
spec-7745-58077-0946.fits,sdssdr12,-15.12666667,M1,0.5,7745,58077,946
spec-10735-58258-0132.fits,sdssdr12,-40.295,K7+WD2,0,10735,58258,132
spec-7593-56958-0948.fits,sdssdr12,-40.995,M5,0.5,7593,56958,948
spec-8372-57787-0228.fits,sdssdr12,-26.92166667,M4,0.5,8372,57787,228
spec-1579-53473-0418.fits,sdssdr12,-77.9,F4,-1.5,1579,53473,418
spec-8740-57367-0740.fits,sdssdr12,-5.935,M5,0.5,8740,57367,740
spec-7610-56980-0992.fits,sdssdr12,-56.865,K7,-0.5,7610,56980,992
spec-7644-57327-0344.fits,sdssdr12,-48.47,M4,0.5,7644,57327,344
spec-7875-56980-0591.fits,sdssdr12,-86.19166666,K1,-2,7875,56980,591
spec-7391-56781-0967.fits,sdssdr12,-30.60666667,M1,-0.5,7391,56781,967
spec-7422-56799-0329.fits,sdssdr12,-42.74,G3,0,7422,56799,329
spec-7289-57039-0630.fits,sdssdr12,6.63,K4+M1,0,7289,57039,630
spec-8176-57131-0331.fits,sdssdr12,-68.04166666,G8+WD8,0,8176,57131,331
spec-7290-57073-0453.fits,sdssdr12,3.701666667,G9,-1.5,7290,57073,453
spec-0741-52261-0443.fits,sdssdr12,-254.155,F4,-1.5,741,52261,443
spec-1945-53387-0105.fits,sdssdr12,152.4025,F0,-1.5,1945,53387,105
spec-7513-56780-0566.fits,sdssdr12,42.61166667,M4,0.5,7513,56780,566
spec-2743-54259-0634.fits,sdssdr12,-47.085,F3,0,2743,54259,634
spec-10272-58172-0118.fits,sdssdr12,-42.535,M2,1,10272,58172,118
spec-7663-57328-0187.fits,sdssdr12,-62.68666666,M2,0,7663,57328,187
spec-7665-57328-0768.fits,sdssdr12,-7.6,M4,0.5,7665,57328,768
spec-8731-57416-0567.fits,sdssdr12,-34.16333333,G7,-1.5,8731,57416,567
spec-7615-56977-0338.fits,sdssdr12,-38.6725,M5,0.5,7615,56977,338
spec-7309-56991-0952.fits,sdssdr12,47.3075,M2,1,7309,56991,952
spec-7853-56988-0338.fits,sdssdr12,-15.7325,M3,-1,7853,56988,338
spec-7307-56720-0362.fits,sdssdr12,23.91166667,M1,0.5,7307,56720,362
spec-10227-58224-0547.fits,sdssdr12,255,K4,-2,10227,58224,547
spec-8283-57064-0128.fits,sdssdr12,-9.033333333,M0,0.5,8283,57064,128
spec-8170-57131-0024.fits,sdssdr12,-25.07166667,M2,0,8170,57131,24
spec-8359-57449-0052.fits,sdssdr12,9.7725,M1,0.5,8359,57449,52
spec-7861-57281-0778.fits,sdssdr12,-5.79,M2,1,7861,57281,778
spec-7430-57105-0892.fits,sdssdr12,-27.91,M1,0.5,7430,57105,892
spec-7914-57331-0877.fits,sdssdr12,-19.72833333,M3,0.5,7914,57331,877
spec-8492-58171-0083.fits,sdssdr12,-107.61,M3,0.5,8492,58171,83
spec-7706-57575-0236.fits,sdssdr12,-11.09666667,M2,1,7706,57575,236
spec-8066-57544-0286.fits,sdssdr12,10.435,M3,0.5,8066,57544,286
spec-1432-53003-0599.fits,sdssdr12,97.35833333,F5,-2,1432,53003,599
spec-7747-58398-0026.fits,sdssdr12,17.4725,K7+M1,0,7747,58398,26
spec-7584-56957-0029.fits,sdssdr12,-50.585,M1,0.5,7584,56957,29
spec-7421-57159-0267.fits,sdssdr12,-52.08833333,K7+M0,0,7421,57159,267
spec-7731-58130-0697.fits,sdssdr12,-246.8783333,M2+C5,0,7731,58130,697
spec-7412-57162-0433.fits,sdssdr12,-127.52,M1,0.5,7412,57162,433
spec-8878-57785-0748.fits,sdssdr12,-24.04166667,M3,0.5,8878,57785,748
spec-7430-57105-0938.fits,sdssdr12,-182.4616667,K1,-1,7430,57105,938
spec-7377-56741-0580.fits,sdssdr12,-159.0983333,G3,-1,7377,56741,580
spec-10759-58526-0641.fits,sdssdr12,14.44666667,M2,1,10759,58526,641
spec-7732-58108-0722.fits,sdssdr12,-33.4,M2+C5,0,7732,58108,722
spec-7633-56931-0108.fits,sdssdr12,-6.156666666,M5,0.5,7633,56931,108
spec-7299-56686-0787.fits,sdssdr12,23.65666667,M3,0.5,7299,56686,787
spec-8525-57900-0884.fits,sdssdr12,-34.36,M3,0.5,8525,57900,884
spec-7750-58402-0892.fits,sdssdr12,-29.6875,M3,0.5,7750,58402,892
spec-8415-57893-0580.fits,sdssdr12,28.37833333,M4,0.5,8415,57893,580
spec-7581-56949-0888.fits,sdssdr12,-58.9375,K4,-1,7581,56949,888
spec-7412-57162-0960.fits,sdssdr12,11.295,M0,0.5,7412,57162,960
spec-7630-57006-0954.fits,sdssdr12,3.3925,M5,0.5,7630,57006,954
spec-7379-56713-0404.fits,sdssdr12,100.4275,M3,0.5,7379,56713,404
spec-2746-54232-0415.fits,sdssdr12,-68.37333333,L0,0,2746,54232,415
spec-11348-58438-0816.fits,sdssdr12,67.76666666,M6,0,11348,58438,816
spec-7315-56685-0804.fits,sdssdr12,-96.765,M1,-0.5,7315,56685,804
spec-7392-56992-0842.fits,sdssdr12,43.19333333,M3,0.5,7392,56992,842
spec-7390-57130-0083.fits,sdssdr12,-138.4183333,G4+WD6,0,7390,57130,83
spec-7302-57012-0305.fits,sdssdr12,-21.44166667,M0,-0.5,7302,57012,305
spec-7726-58154-0091.fits,sdssdr12,-53.54333333,M2,1,7726,58154,91
spec-7842-56899-0574.fits,sdssdr12,34.29666667,K7,-0.5,7842,56899,574
spec-7291-56992-0237.fits,sdssdr12,28.98666667,M0,-0.5,7291,56992,237
spec-8835-57427-0684.fits,sdssdr12,-23.485,M5,0.5,8835,57427,684
spec-7697-57574-0414.fits,sdssdr12,-85.73833333,F3,0,7697,57574,414
spec-7425-56777-0718.fits,sdssdr12,41.0375,M4,0.5,7425,56777,718
spec-8503-57519-0983.fits,sdssdr12,14.80333333,M2,1,8503,57519,983
spec-11040-58456-0236.fits,sdssdr12,61.96,M0,0.5,11040,58456,236
spec-7376-56749-0394.fits,sdssdr12,-31.8525,M4,0.5,7376,56749,394
